,mechanism,smiles_monomer
100,urethane,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1.O=[N+]([O-])c1cnc(N=Nc2ccc(N(CCO)CCO)cc2)s1
101,urethane,OCCCCCCCCCCO.CCCCCCC(CC=CCCCCCCCCN=C=O)N=C=O
102,urethane,O=C=NCCCCCCN=C=O.OCCCCCCCCCCO
103,urethane,OCCN(CCO)CCO.Cc1ccc(N=C=O)cc1N=C=O
104,urethane,OCCCCCCCCCCO.O=C=NCCCCCCCCN=C=O
105,urethane,OCCCCCCO.CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
106,urethane,OCCCCCCO.O=C=NC1CCC(N=C=O)CC1
107,urethane,OC1CCC(O)CC1.O=C=NCCCCCCN=C=O
108,urethane,O=C=NCCCCN=C=O.CN(C)CC(C)(CO)CO
109,urethane,Oc1ccccc1-c1ccccc1O.O=C=Nc1ccc2c(c1)C(=O)N(c1ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(N5C(=O)c6ccc(N=C=O)cc6C5=O)cc4)c3)cc1)C2=O
110,urethane,OCCCCCCO.O=C=NCCCCCCN=C=O
111,urethane,OCCO.O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
112,urethane,OCCCCO.O=C=NCCCCCCN=C=O
113,urethane,OCCO.O=C=NCCCCCCN=C=O
114,urethane,OCC1CCC(CO)CC1.CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
