mechanism,polymer_name,directory,n_atoms_in_topology,Density
polyester,"poly(ethane-1,2-diol-co-furan-2,5-dicarboxylic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-furan-2,5-dicarboxylic acid)/trimer/1x1x1",60,1.46
polyamide,"poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-hexanedioic acid)","polymer_update/polyamide/poly(1,5-bis(3-aminophenyl)penta-1,4-dien-3-one-co-hexanedioic acid)/trimer/1x1x1",153,1.19
polyester,"poly(butane-1,4-diol-co-butanedioic acid)","polymer_update/polyester/poly(butane-1,4-diol-co-butanedioic acid)/trimer/1x1x1",75,1.26
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-terephthalic acid)","polymer_update/polyamide/poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-terephthalic acid)/trimer/1x1x1",321,1.31
polyurethane_isocyanate,"poly(1,6-diisocyanatohexane-co-2-(2-hydroxyethoxy)ethanol)","polymer_update/polyurethane_isocyanate/poly(1,6-diisocyanatohexane-co-2-(2-hydroxyethoxy)ethanol)/trimer/1x1x1",123,1.26
polycarbonate_phosgene,poly(4-[2-(4-hydroxy-3-methylphenyl)propan-2-yl]-2-methylphenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[2-(4-hydroxy-3-methylphenyl)propan-2-yl]-2-methylphenol-co-carbonyl dichloride)/trimer/1x1x1,119,1.183
polyester,"poly(ethane-1,2-diol-co-naphthalene-2,6-dicarboxylic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-naphthalene-2,6-dicarboxylic acid)/trimer/1x1x1",87,1.3425
polyester,"poly(pentane-1,5-diol-co-heptanedioic acid)","polymer_update/polyester/poly(pentane-1,5-diol-co-heptanedioic acid)/trimer/1x1x1",111,1.15
polyamide,"poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[6'-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]spiro[fluorene-9,9'-xanthene]-3'-yl]oxy-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",321,1.29
polycarbonate_phosgene,poly(4-[4-(4-hydroxy-3-methylphenyl)heptan-4-yl]-2-methylphenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[4-(4-hydroxy-3-methylphenyl)heptan-4-yl]-2-methylphenol-co-carbonyl dichloride)/trimer/1x1x1,155,1.093
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-5-tert-butylbenzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-5-tert-butylbenzene-1,3-dicarboxylic acid)/trimer/1x1x1",345,1.26
polyester,poly(2-(2-hydroxyethoxy)ethanol-co-hexanedioic acid),polymer_update/polyester/poly(2-(2-hydroxyethoxy)ethanol-co-hexanedioic acid)/trimer/1x1x1,96,1.14
polyamide,poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-terephthalic acid),polymer_update/polyamide/poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-terephthalic acid)/trimer/1x1x1,309,1.43
polyester,"poly(butane-1,4-diol-co-decanedioic acid)","polymer_update/polyester/poly(butane-1,4-diol-co-decanedioic acid)/trimer/1x1x1",129,1.14
polycarbonate_phosgene,poly(2-ethyl-4-[2-(3-ethyl-4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(2-ethyl-4-[2-(3-ethyl-4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1,137,1.128
polyester,"poly(hexane-1,6-diol-co-decanedioic acid)","polymer_update/polyester/poly(hexane-1,6-diol-co-decanedioic acid)/trimer/1x1x1",147,1.03
polyester,"poly(ethane-1,2-diol-co-terephthalic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-terephthalic acid)/trimer/1x1x1",69,1.344
polyester,"poly(butane-1,4-diol-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyester/poly(butane-1,4-diol-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",87,1.27
polycarbonate_phosgene,"poly(2,6-dichloro-4-[2-(3,5-dichloro-4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride)","polymer_update/polycarbonate_phosgene/poly(2,6-dichloro-4-[2-(3,5-dichloro-4-hydroxyphenyl)propan-2-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1",101,1.415
polycarbonate_phosgene,poly(4-[1-(4-hydroxyphenyl)cycloheptyl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[1-(4-hydroxyphenyl)cycloheptyl]phenol-co-carbonyl dichloride)/trimer/1x1x1,131,1.203
polyester,"poly(butane-1,4-diol-co-hexanedioic acid)","polymer_update/polyester/poly(butane-1,4-diol-co-hexanedioic acid)/trimer/1x1x1",93,1.06
